years,salary
6,2041
7,6648
12,3494
2,2107
7,2525
8,4925
10,5403
4,1775
9,5786
7,4965
7,5085
4,4228
12,823
6,2440
1,3575
12,1205
5,2759
5,2094
9,1954
11,4286
5,5616
11,4337
1,2241
5,5103
3,4123
5,6430
5,4681
8,2132
10,945
2,4761
6,2186
1,4620
4,2706
6,1184
2,4368
11,2439
1,6420
12,1004
4,2067
3,2768
6,5469
6,2731
1,5005
5,4467
5,1929
7,5280
5,6568
9,3913
10,3987
1,984
5,1136
11,2803
3,5668
6,4088
8,5034
3,1221
4,6070
6,4951
3,4039
9,2067
5,2016
4,4920
2,1627
11,3165
8,6404
10,2029
3,3649
8,3477
3,5641
5,1127
7,2992
11,3784
9,5138
1,2340
6,2375
8,4875
4,1389
12,5998
2,4839
10,4709
4,4342
9,1540
8,4385
11,2632
8,2366
5,4550
4,1337
2,2768
2,3533
8,2396
1,6491
4,5662
9,2461
6,2559
1,4887
8,5143
10,5560
8,4522
11,1067
5,5390
4,993
9,1769
2,2876
2,5501
9,5537
5,1938
4,1389
7,1810
5,6493
10,3303
2,4434
11,1137
7,5810
4,2550
9,3730
2,2201
6,2468
11,5292
2,1677
4,4074
9,1239
5,2960
11,2776
11,2436
2,1828
9,5841
11,3903
8,5097
10,5272
1,3649
12,3511
9,6187
2,3497
6,4993
6,3766
2,503
6,4520
4,5962
1,5959
3,4466
7,6381
2,2992
10,3034
12,5567
6,2665
7,3800
5,4900
3,6578
4,6087
4,561
7,885
10,793
9,5508
8,2456
2,1075
11,3127
10,3747
11,1085
3,4050
9,3787
1,1993
4,1399
3,1287
12,1590
6,2820
8,4988
10,4393
6,2147
6,1097
12,4464
11,3149
8,742
12,1651
6,5670
10,529
10,5237
4,5081
2,4759
7,3292
11,6524
3,4268
5,3535
12,2226
8,4582
7,5482
8,4616
11,6403
8,3023
10,2499
8,3544
2,1793
8,1031
1,3447
1,5967
7,4057
6,2229
4,3492
1,1020
3,844
1,1907
9,2359
11,4384
5,2054
7,846
4,3622
5,1677
7,2830
2,5006
11,4187
3,3165
4,5852
2,2768
9,936
1,1201
12,4753
10,731
7,5434
7,1016
11,2930
6,4942
5,1508
11,4254
10,1037
2,1445
11,6635
12,1530
5,1221
7,3466
8,4595
11,3867
5,3937
2,1511
9,1176
11,4282
10,2648
7,4029
4,5632
11,683
6,2565
3,3197
12,1615
7,4043
4,626
9,3388
8,2767
4,3136
2,2898
2,4161
2,1271
6,742
11,4974
2,3650
1,4635
1,3829
9,6673
3,2250
12,1941
10,1331
5,5935
1,671
3,4778
2,3479
8,5343
10,5494
12,2820
1,2288
8,2943
6,4789
11,6445
2,6519
7,3076
7,3741
10,3523
8,1467
9,5056
9,5861
7,1069
1,1398
1,6572
8,2003
12,4367
7,1262
3,2148
9,4996
5,4660
12,513
7,1368
7,4925
11,4289
12,1549
4,6107
1,1157
12,4271
8,3037
3,4590
10,1511
4,4963
9,2226
5,4908
6,1410
7,4832
1,5278
10,1968
6,2858
5,2081
11,6403
6,2437
11,3528
1,3379
5,2432
6,1018
9,2823
6,2861
11,3146
7,639
6,917
1,1454
1,5332
5,4337
6,4024
2,4294
1,4507
1,1781
8,869
5,4102
10,938
10,5430
2,6342
1,1345
11,3455
12,2894
2,2341
9,677
7,1351
5,4582
4,2523
3,6624
11,637
3,4204
11,1282
11,2177
6,5574
10,2050
9,3844
1,5617
7,4553
11,5206
1,5446
2,3257
5,1476
3,5824
9,3897
4,2185
11,4766
11,787
4,1175
9,2645
8,2012
3,4415
8,2999
1,6644
6,3094
4,5876
11,6079
4,3545
5,4706
5,2867
10,5570
9,1877
1,4939
10,3278
12,5561
2,1087
8,3736
7,2068
7,2629
3,3487
9,5857
2,3737
12,1688
3,1825
2,1904
2,6049
2,3506
10,4799
4,1850
10,4931
6,5617
5,2631
3,4532
7,1625
6,5911
1,6200
1,5847
4,3485
4,1628
11,1459
10,1809
2,6437
12,6094
